document_id,filename,relative_path,era,source_type,title,author,page_count,created_at
8c8c273d-071c-56c0-a66a-af5d7745a6dd,ancient_001.pdf,books/Ancient_Egypt/ancient_001.pdf,Ancient Egypt,book,A history of Egypt from the earliest times to the Persian conquest,"Breasted, James Henry, 1865-1935",830,2026-07-30T15:10:01.251744+00:00
d98d2e3c-7602-5e7c-9623-0fb546555f19,ancient_002.pdf,books/Ancient_Egypt/ancient_002.pdf,Ancient Egypt,book,A History of the Ancient Egyptians,James Henry Breasted,510,2026-07-30T15:10:10.564143+00:00
e443c90d-f3d1-5f0e-bd70-eca538d0a935,contemporary_001.pdf,books/Contemporary_Egypt/contemporary_001.pdf,Contemporary Egypt,book,The Yom Kippur War: The Epic Encounter That Transformed the Middle East,Abraham Rabinovich,620,2026-07-30T15:10:10.736042+00:00
d658cc25-a717-5761-9b54-1c98555a1c00,contemporary_002.pdf,books/Contemporary_Egypt/contemporary_002.pdf,Contemporary Egypt,book,The Crossing of the Suez,Saad el Shazly,166,2026-07-30T15:10:10.829771+00:00
ba87f696-8b3d-5573-939b-5c798a73c878,coptic_001.pdf,books/Coptic_Egypt/coptic_001.pdf,Coptic Egypt,book,The ancient Coptic churches of Egypt,Alfred Joshua Butler,412,2026-07-30T15:10:10.970962+00:00
44359198-3a5b-55c3-b3e7-f034fab6c9aa,coptic_002.pdf,books/Coptic_Egypt/coptic_002.pdf,Coptic Egypt,book,The ancient Coptic churches of Egypt,"Butler, Alfred J. (Alfred Joshua), 1850-1936",431,2026-07-30T15:10:11.259633+00:00
da61b54d-2753-53c4-a36e-e0ae5a711197,coptic_003.pdf,books/Coptic_Egypt/coptic_003.pdf,Coptic Egypt,book,The Story of the Copts: The True Story of Christianity in Egypt,Iris Habib el Masri,371,2026-07-30T15:10:11.365145+00:00
2190be39-be6f-5e93-b1a7-9875a24845e4,greco_001.pdf,books/Greco_Roman_Egypt/greco_001.pdf,Greco Roman Egypt,book,The history of Egypt under the Ptolemies,"Sharpe, Samuel, 1799-1881",238,2026-07-30T15:10:11.486294+00:00
4ac34eee-e4e3-5794-b941-40bbee8dae58,greco_002.pdf,books/Greco_Roman_Egypt/greco_002.pdf,Greco Roman Egypt,book,Unique Sources in an Unusual Setting,Katelijn Vandorpe,12,2026-07-30T15:10:11.517543+00:00
2377a5a0-f698-56f9-8855-6e8fa70d8b40,islamic_001.pdf,books/Islamic_Egypt/islamic_001.pdf,Islamic Egypt,book,"Ayyubid Jerusalem: The Holy City in Context, 1187-1250",Robert Hillenbrand; Sylvia Auld (eds.),29,2026-07-30T15:10:11.568542+00:00
c36a421e-02c0-5238-b8fd-476393ae1355,islamic_002.pdf,books/Islamic_Egypt/islamic_002.pdf,Islamic Egypt,book,Battles of the medieval world 1000-1500 : from Hastings to Constantinople,"DeVries, Kelly",232,2026-07-30T15:10:11.923348+00:00
c689a934-ea78-55c5-8db4-62a2f689efba,islamic_003.pdf,books/Islamic_Egypt/islamic_003.pdf,Islamic Egypt,book,The history of the crusades,"Michaud, J. Fr. (Joseph Fr.), 1767-1839; Robson, William, 1785-1863; Mabie, Hamilton W",548,2026-07-30T15:10:12.470119+00:00
aab1ad06-1698-5abd-91e1-7c530ea6b32a,islamic_004.pdf,books/Islamic_Egypt/islamic_004.pdf,Islamic Egypt,book,Saladin and the Fall of the Kingdom of Jerusalem,"Stanley Lane-Poole, M.A.",518,2026-07-30T15:10:13.298344+00:00
